file,partition
vcolc2,test
nmen2,test
cglu,test
hpyl,test
cpneu3,test
rconorii,test
xfas,train
styp,train
xcamp,train
linno,train
mtub2,train
llac,train
bbur,train
baphi,train
btheta,train
rsolac2,train
atum1c1,train
mpneu,train
cjen,train
caceto,train
cmur,train
bsp,train
bsub,train
rsola,train
bhal,train
xcitri,train
bmelic2,train
mtub,train
dra1,train
tteng,train
tmar,train
tpal,train
synecho,train
atum2c1,train
hpyl99,train
fnucl,train
vvul1c2,valid
mgen,valid
spyo2,valid
pmul,valid
paer,valid
scoel,valid
mpul,valid
sent,train
nmen1,train
vcolc1,train
atum1c2,train
hinf,train
mlep,train
uure,train
spneu1,train
vvul1c1,train
mloti,train
bmelic1,train
cpneu,train
ctra,train
ccres,train
vvul2c2,train
ecoli3,train
ecoli,train
atum2c2,train
smel,train
sau1,train
nsp,train
spneu2,train
vvul2c1,train
spyo,train
dra2,train
sau3,train
aquae,train
cperf,train
ctep,train
ecoli2,train
ypestis,train
lmono,train
cpneu2,train
sau2,train
rpxx,train
