ID	Genome name	Taxonomy	Genome size(Mb)	GC(%)	GenBank accession number	BioProject
MBS0	Marinobacter sp. BSs20148	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter.	4.06	54.10	CP003735	PRJNA171995
Nsa0	Nitratifractor salsuginis DSM 16511	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Nitratifractor.	2.1	53.90	CP002452	PRJNA62183
Vvu2	Vibrio vulnificus CMCP6	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.13	46.72	AE016795,AE016796	PRJNA62909
Vvu1	Vibrio vulnificus MO6-24/O	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.01	46.95	CP002469,CP002470	PRJNA62243
Vvu0	Vibrio vulnificus YJ016	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.26	46.67	BA000037,BA000038	PRJNA58007
Ele0	Eggerthella lenta DSM 2243	Bacteria; Actinobacteria; Coriobacteridae; Coriobacteriales; Coriobacterineae; Coriobacteriaceae; Eggerthella.	3.63	64.20	CP001726	PRJNA59079
Vmo0	Vulcanisaeta moutnovskia 768-28	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta.	2.3	42.40	CP002529	PRJNA63631
Cfi0	Cellulomonas fimi ATCC 484	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Cellulomonadaceae; Cellulomonas.	4.27	74.70	CP002666	PRJNA66779
Bgl0	Burkholderia glumae BGR1	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	7.28	67.93	CP001503	PRJNA59397
Sbi0	Streptomyces bingchenggensis BCW-1	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	11.94	70.80	CP002047	PRJNA82931
Bre0	Borrelia recurrentis A1	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia.	1.24	27.51	CP000993	PRJNA58793
Sde2	Shewanella denitrificans OS217	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	4.55	45.10	CP000302	PRJNA58263
Sde3	Sulfurimonas denitrificans DSM 1251	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Sulfurimonas.	2.2	34.50	CP000153	PRJNA58185
Sde0	Sulfurospirillum deleyianum DSM 6946	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Sulfurospirillum.	2.31	39.00	CP001816	PRJNA41861
Sde1	Sulfuricella denitrificans skB26	Bacteria; Proteobacteria; Betaproteobacteria; Sulfuricellales; Sulfuricellaceae; Sulfuricella.	3.22	56.12	AP013066	PRJDA170240
Dfe1	Dyadobacter fermentans DSM 18053	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Dyadobacter.	6.97	51.50	CP001619	PRJNA59049
Dfe0	Desulfurococcus fermentans DSM 16532	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Desulfurococcus.	1.38	44.80	CP003321	PRJNA75119
Sde4	Saccharophagus degradans 2-40	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Saccharophagus.	5.06	45.80	CP000282	PRJNA57921
Sac5	Sulfolobus acidocaldarius N8	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus.	2.18	36.70	CP002817	PRJNA189027
Sac4	Sulfolobus acidocaldarius SUSAZ	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus.	2.06	36.30	CP006977	PRJNA232254
Sac7	Sulfobacillus acidophilus TPY	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus.	3.55	56.80	CP002901	PRJNA68841
Sac6	Sulfolobus acidocaldarius Ron12/I	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus.	2.22	36.70	CP002818	PRJNA189028
Sac1	Sulfolobus acidocaldarius DSM 639	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus.	2.23	36.70	CP000077	PRJNA58379
Sac0	Singulisphaera acidiphila DSM 18658	Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Singulisphaera.	9.76	62.27	CP003364	PRJNA81777
Sac3	Syntrophus aciditrophicus SB	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophus.	3.18	51.50	CP000252	PRJNA58539
Sac2	Sulfobacillus acidophilus DSM 10332	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus.	3.56	56.79	CP003179	PRJNA88061
Bcl1	Bartonella clarridgeiae 73	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella.	1.52	35.70	FN645454	PRJNA62131
Bcl0	Bacillus clausii KSM-K16	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.3	44.80	AP006627	PRJNA58237
Mha3	Mannheimia haemolytica D171	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Mannheimia.	2.5	41.10	CP006573	PRJNA212304
Gki0	Gloeobacter kilaueensis JS1	Bacteria; Cyanobacteria; Gloeobacteria; Gloeobacterales; Gloeobacter.	4.72	60.50	CP003587	PRJNA225602
Cse0	Caulobacter segnis ATCC 21756	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter.	4.66	67.70	CP002008	PRJNA41709
Gda0	Geobacter daltonii FRC-32	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	4.3	53.50	CP001390	PRJNA58543
Cae0	Caldilinea aerophila DSM 14535 = NBRC 104270	Bacteria; Chloroflexi; Caldilineae; Caldilineales; Caldilineaceae; Caldilinea.	5.14	58.80	AP012337	PRJNA158165
Ctr37	Chlamydia trachomatis RC-J/971	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.04	41.30	CP002681	PRJNA213395
